参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
Af3313 exam source 收,Pm,Pm,Want,1,10,,,,,
Af3313 walid點？,想問下你知唔知你大概幾分？,唔知walid會唔會 你可以問佢,係咪得anson先會考glossary 😂😂,1,13,,,,,
AF WIE Summer Intern Nom,up,過來人答你 有 但有大firm當然做大firm好eg.ibank big4,ird intern其實係咪冇用？,1,33,,,,,
求APSS1L01 termpaper sources😵,Pm,有冇cultural competence,,,,3,94,,,
exam f左,25x0.8+35x0.7+0=44.5=就算你exam 0分都有D+ 大概咁估計,yes 兩邊pass只係某d dept/科特別要求 要列明,,,,1,10,,,
"代做Ma1 Ma2 asm, group projects",過主啦,有意pm,poe 攪掂啦,1,4,,,,,
代做Elc3221 Elc3222 ASM,有A- proof 價合理 意DM,Hello,有A- proof 價合理 意DM,1,3,,,,,
放af4228 Auditing n assurance,Push,Push,Puah,2,41,,,,,
ELC3221咩撚嘢extra recommendation,其實個networking 係想點🫠,啱呀,同上堂教啲都唔同嘅,1,4,,,,,
收大中CC1104C ！！,有，pm,有，pm,Pm,1,5,,,,,
收lgt4012 final !,Pm,,,,,,,,1,1
想買ITC2019M sources，急求,Pm,pm🙏,有,2,6,,,,,
Exam,快手考完 咪搞study break浪費時間,exam越早越好啦  拖住有咩用,學校成日話學生想早d 完sem 搵工搵intern,1,12,,,,,
求cse30306 lab source,如題🙏🏻,,,,,,,,1,1
Erew final 使唔使連埋個check list?,你睇下checklist本身 或者guidelines 有無寫再唔係直接email問,定只要有cover page 就得？🙇🏻‍♀️,,,,2,2,,,
Cambridge summer program 搵旅友,One week mathematic of engineering 想搵個香港人一齊去啱嘅話 可以一齊租民宿係市中心玩多兩，三日有意請留言 感謝🙏🏻,,,,,,,,1,1
求AF3211 final exam,pm,Pm me有上個sem final Q&A,,,,1,2,,,
做FYP做到想死,fyp,有冇得申請credit transfer或者exemption利申 af dept 唔想做 仲要3個人一組實嗌交,FYP真係冇用又曬時間,2,6,,,,,
放AF2110 a range source,Dm,Pm,Added,1,19,,,,,
"收lgt4012, bme1d01 exam source",Pm/ tg,,,,,,,,1,1
Summer Internship,咩department?,幾時in，幾時收到？,,,,5,63,,,
__,do you get the source？,想搵final test only,,,,2,2,求CBS1CN12P source🙏🏻,,
收lgt4012 exam sources,Pm,Tg,Hv,1,4,,,,,
收Elc1a09 source,有a source?,Hv,想收,1,8,,,,,
有冇人Chinese arts and life拎過A,Pm,Pm,Here,10,220,,,,,
__,Pm,要既pm,有A grade source,2,35,,,收Chinese art& life source,,
有冇人讀緊 ME31002 Linear Systems?,覺得呢科點樣？好唔好？,,,,,,,,1,1
APSS1BN17 group present source,之前唔係group pre 無sourse,.,,,,1,2,,,
有冇人代做AIS myop assignment,Hi,Hi,比火,1,9,,,,,
急！有冇人可以代做AIS myop assignment,Hello,200代做,,,,1,2,,,
FB Codi入一入,上完莊就求其揾啲野屈人?,上面係咪afs班打手,Detail pls,1,7,,,,,
放APSS1BN15 A+ SOURCE,Pm,如果想買pm me,Pm,1,3,,,,,
收APSS1A04 Ethics quiz source,收 MC quiz source,想要,Pm,8,,,,,,
BME1D01 有冇final quiz source,1,,,,,,,,1,1
__,有a source,pm,有,1,17,,,收af3316 sources/筆記,,
收af2110 MA A grade source,pm,pm,pm,1,7,,,,,
收AF2110 a grade source,Dm,,,,,,,,1,2
收四大名著source,pm,想買source,Hello,1,17,,,,,
點睇今年FB 3 soc,識佢老鼠,,,,,,,,1,1
求mm4311 source,pm,pm,Pm,1,66,,,,,
有冇關於哲學既course可以讀,個prof 都會好樂意咁樣同你討論,Car D life and death 應該幾啱你,poly係技術學校，專注訓練生產機器，唔諗人生意義。,1,8,,,,,
Lgt2106 mid term,收,hv mt q&a,pm me,1,16,,,,,
四大名著draft 2,得6.4,7.6分 不高不低,有冇人出咗成績？,1,3,,,,,
BRE273 gp project source,Pm,PM我 有 A grade source,求gp project topic foundation source,1,3,,,,,
收lgt2106 mt source,pm me,pm me,收source,1,10,,,,,
LGT2106 source,Pm,pm,pm,1,11,,,,,
收LGT2106 source,禁火圈,pm,pm,1,23,,,,,
收LGT3425sources,pm,Pm,Pm,1,16,,,,,
Fyp present,冇人阻你，不過一定低分,有冇人知 FYP present 比唔比拎稿讀定係睇professor…,,,,1,2,,,
有冇人放COMP2322 Source,想要上一年2022 Sem2Comp2322 Computer Networking 嘅final卷🙏🏻,,,,,,,,1,1
American Diner 咩事超多人？,買左就無得唔等啦,唔等得咪唔好食 屌,買完等野食都無左一堂,1,3,,,,,
依家做gym迫過街市,去z core果條路咪係gym,邊度唔洗錢？lm,傻既唔緊 大多數一班大陸仔霸成部機 再扮晒客氣話仲有幾set完,1,6,,,,,
Af3112  Tedmond 教嘅點樣？ grade好唔好,點悶法？,想hea先好揀,教書麻麻,1,8,,,,,
Lgt2106 principle mag.收essay,Pm,Pm,,,,1,2,,,
ELC2012 靚英文堂！,有冇A range source?🙏,有冇A range source?🙈,有冇A range source?🙈,4,16,,,,,
平放source,有冇ELC2012,Push,Push,1,30,,,,,
放elc2012 Apss111 source,Hello 我想要ELC2012,Hi I pm you,Pm,1,13,,,,,
MM3425 business analytics,Pm,"Sample: Lee篇文600，事先聲明唔會有keggle document,only this pdf",📷,1,27,,,,,
MM3425 individual assignment,Dm,,,,,,,,1,13
有冇人入到estudent,無事wor,,,,,,,,1,1
收mm4513 source,Hv a range,"Pm, thx",Pm,1,6,,,,,
收AF3625 Engine economic source,推,我係樓主，pm我thx,Pm,1,5,,,,,
18 cred 有一科係sl 會唔會讀得好辛苦,讀唔掂大不了咪quit U 樓主唔好畀太大壓力自己 唔好嘗試諗自殺,有source會輕鬆d嘅,睇你其他科有冇mt，sl有豬grp mate 就shit,18,,,,,,
AF 今個sem 邊科midterm 最難？,investment,有frd上年讀,你點知兩年題目？,2,23,,,,,
放business law source,DLLM,pm 有prove A- sources,PM plzs,1,19,,,,,
今屆物理治療￼莊出首歌好癲￼,手Joke坐曬監啦 今晚食美心算,咩歌,2023係咪已經冇人理黃藍？,1,3,,,,,
Year 4的我很喜歡孔子,pm 識下～,非禮勿視,但不敢跟朋友說🥺,1,6,,,,,
收af3316 investment source😀🥹,Pm 有a,Pm,pm,1,9,,,,,
FYP一問,group,分數係group-based/individual-based?,,,,1,2,,,
收claw source,Pm 有,pm,,,,1,2,,,
收Apss1bn15 Global china source,我係樓主,,,,,,,,1,1
收BSE417 sources,推,推,,,,1,5,,,
想問下有冇足球學會，想踢下波甘樣,有意 求pm,有,pm,3,10,,,,,
__,Any Leeds this summer?,can i miss your msg😅,pm,52,,,,Summer exchange 大家去邊？,,
__,Kc,Kxx chxxx,ACCT Ding ZY,21,34,,,今年有冇bba男神？,,
放business finance sources,"有C grade mid term, exam, asm","有C grade mid term, exam, asm","有A grade mid term, exam, asm",1,54,,,,,
有冇人想一齊踢波？,有,Here,Here,1,8,,,,,
Freerider name list入嚟留名,不如出good teammates list,,,,,,,,1,2
MA2苦主區,到時可能個個80+,Tedmond第一次出卷可能唔係好就到,佢要既30分都可以俾A,2,19,,,,,
有冇人想join JP case competition？,有興趣case comp?,有冇多少少details,Pm你,1,6,,,,,
收AF3507 source,Hv a range,pm,Pm,1,11,,,,,
求cse科assignment source,Yes pm me,有cse20201?,有cse30303?,1,6,,,,,
HTM1A01大家咩grade,A,,,,,,,,1,1
APSS111 同APSS1A08邊個好？,APSS只讀SL，CAR是伏,除非冇得揀先至揀其他 apss course,一定係psychology 好,1,12,,,,,
組隊參加morgan case study比賽,有無多少少details,pm,Pm,1,8,,,,,
其實點解要做SL?,其實做吓又無壞嘅，當chok吓GPA,為大學排名,Haha你地真係好fun,1,8,,,,,
有冇人ser learn出過正生？,what is 正生?,Family with special needs,咩ser learn 要出,1,4,,,,,
AMA CAR伏?,AMA d CAR都幾特別，個人覺得佢d project都算fun，之前讀過Game Theory，A+,教我,stat 科唔難， 4字頭既都輕鬆A range( major AMA),1,12,,,,,
APSS2S09S 好唔好讀？,"讀過APSS2S09(最尾有S=讀1個sem, 無S=讀2個sem)，可能因為我讀2個sem，workload唔覺特別大，最後好彩拎A",好辛苦 workload又大 summer做到喊🫠,會唔會咁誇，上年讀完 chur 就chur啲，但至少都叫有個B range，但就預咗真係要搏老命咁做,1,17,,,,,
有冇人想一齊討論下Claw Essay 要用咩case🥲,pm,Pm,Pm,1,8,,,,,
￼ig page轉讓,Push,佢sp,你係佢啲ex?,2,22,,,,,
dynamic earth essay,Pm,Pm,Pm plz🥲,1,18,,,,,
[拯救小生命] 可否捐lecture notes 啊🙏🙏,🙏🙏🙏,想問有冇善長人翁可以捐lecture notes:- ama564- ama3820- ama542- ama2702- ama2691,,,,1,2,,,
收mm2021 source,Pm,Pm,,,,2,21,,,
住hall 無hall 莊住來為什麼,Same,100%喎,開元莊唔係全部大陸人咩？,4,36,,,,,
想要dynamic earth source,Pmpm,pmmm🥹🥹,Pm,1,25,,,,,
Mm3425 group project source/槍,Pm,K,Pm,1,3,,,,,
Dynamic earth sourcea,Pm,Pm,Pm,1,7,,,,,
MM2425/ LGT2106,pm me,pm me,Pm,1,111,,,,,
收LGT4017 a range source,Pm,Pm,pm,1,6,,,,,
收corporate finance group proje,有,pm,求A grade,1,3,,,,,
APSS1A04 ethics,求 source,冇人有MC？,求 MC,1,9,,,,,
midterm 無當日醫生紙可否補考？,搏唔過。final 一定唔俾,我上次mid term冇醫生紙都make up到,因為多數mid term都係星期日，而星期日冇診所開,1,8,,,,,
有冇人見過Counsellor,Pm傾下？我都諗住約counseling 但感覺第一次好奇怪,有 幾靚仔其實成件事好free 嗰個地方比你嘅感覺係好輕鬆 有咩可以同佢地share 過程好似傾計咁only,最近壓力好大想搵人傾下，有冇人見過counsellor可以分享下經驗,2,3,,,,,
完成app任務|一百蚊百佳卷|抑鬱情緒,"你好﹗我是香港理工大學人工智能設計研究所的工作人員。現想邀請您參加「探索解釋偏差與情緒困擾相關性的研究」，全部完成者可獲得100元百佳卷。在這項研究中，您將根據指示安裝指定的手機app，並在第1天和第13天登錄app完成裡面的任務。請注意，您需要認真完成app裡面的每項任務。若發現參與者無認真對待裡面的任務（主要表現在對所有問題都採取相同的選項，或對兩個正反提問的提問給予矛盾答案），我們有權中止參與並不給予任何補償。我們這項研究的參與資格如下：1.	年齡18-302.	有長期情緒困擾3.	具有中文讀寫能力如有興趣，可點擊以下連接報名https://qtrial2014.az1.qualtrics.com/jfe/form/SV_b4q0T3EA1xmbz5Y",,,,,,,,1,1
收Af3211 database source,pm,Pm,Pm thx🙏,2,18,,,,,
想摺住新定舊hall好,咁誇張㗎咩🤣我想像中係同房嘅人好warm好nice成班frd咁🫠,local同nds/國際一間房你可以預日日嘈交,但有得揀一定舊hall 想yo想摺其實你話事,1,23,,,,,
放ELC3421 source,Pm,Pm,Have any Ass 2 topic for discussion,1,27,,,,,
__,PM,discussion,想問下你當年考左咩題目,2,4,,,Elc3421 group discussion,,
有冇ELC3421   source🙏🏼🙏🏼,Pm,Pm,Pm,2,49,,,,,
放AF4320 cfin A source,pm,pm,Pm,1,75,,,,,
AF1605 midterm 點讀？,死得,等攞F,唔使讀,2,3,,,,,
想問下sem1多唔多SerLearn係single sem?,好多都系話兩個sem 但其實一個sem做完架喳,好奇點解reg唔到，今個sem都reg到幾科sl，利申非final year,Yes BME2S04,2,5,,,,,
收lgt2106 resource,Pm,pm me,pm me,1,37,,,,,
收claw資料,pm,係呀,Pm,1,11,,,,,
收購b law textbook,Blaw 書無用,有冇人有business law of hong kong 6th edition？有意買🙏🏼,,,,1,2,,,
收MM4311 source,pm,Pm,pm,2,61,,,,,
Goop雞,邊度見到？低清到呢,隔離post見到 係咪poly？ 前幾日見到個差唔多look定公廁look嚟,📷,1,3,,,,,
求 ELC2011 source,Pm if you need A souce,Have A source,"Have A grade source, pm me",1,15,,,,,
MM3425 有冇人真係背到所有code點打,淨係講*,佢今日話隔籬班lecture demonstration 都冇 再講ppt 係咪真係咁癲,冇 唔睇住notes根本唔識用,1,5,,,,,
EIE1D03 搵groupmates,dm,,,,,,,,1,1
考完AMA2104的你們如何?,sad,,,,,,,,1,1
__,Push,,,,,,,求評BME2S04,1,1
各af科Assignment 代做 已grad有proof,DLLM,Kai_chungggg,Ig?,1,9,,,,,
"放af4320, af3317, af3620 source",pm,pm,Pm,1,33,,,,,
收Cee source,有冇CSE30306 source? 🙏🏻,收cse30303 assignment source🙏🏻,Pm,2,4,,,,,
放A range MM1051 source,pm,Pm,Pm,1,5,,,,,
"y3, 想搵人一齊準備IBank interview",hard but not impossible,poly is not their target school,push,1,3,,,,,
收Apss1bn17 source!!,Pm have A source,Pm,Have A+ source pm me,1,5,,,,,
收mm4311 source,收mm4311 source,,,,,,,,1,1
__,Pm,平放a range source,Pm,1,26,,,Bme1d02伏唔伏,,
Kai chung,Ew,,,,,,,,1,1
放BME1D02 A source,Pm,Overall A,,,,1,2,,,
有冇人比Kira Rimrott教過,Kira killer feel比分幾緊 但個人幾nice 成日早放,有 elc3721,,,,1,2,,,
D 女仔露腿又露咀了！,無得你咀，唔好亂黎,,,,,,,,1,1
搵participant|300蚊百佳卷|如果你有d抑鬱…,push,push,無需要臨床診斷，主要嘅表現就係，無咩特別嘅事情，但長達兩星期都處於心情低落，motivation唔高,3,13,,,,,
求campus附近salon推介,想去洗剪吹 冇乜要求 最緊要平想問吓有冇人試過喺campus附近嘅salon剪頭髮可以介紹吓🙇🏻都唔知去黃埔定佐敦定尖東搵好,,,,,,,,1,1
平放clc3221p,pm me plz if needed,,,,,,,,1,1
__,Kai_chungg,屌你老母 quit U 囉,大陸貴州農村返學要行幾十分鐘山路 你啲死廢青行兩步就呱呱叫 冇用,1,7,,,世界上最遙遠嘅距離,,
收AF3210 AF3211 AF4106 source,Pm thx,Moto?,"但佢個人十分自我中心, 就算有好多source都扮到無然後’參考’完攞到高分就話好易咁都唔識",1,11,,,,,
AF3211 source,收 David li  AF3211MYOB source . Please pm me,,,,,,,,1,1
Local Wie offer,經job board報咗local Wie 想知大概幾時公司會出offer 話收？ 我dept 係cee 報嘅都係相關嘅,,,,,,,,1,1
收Derivative security MT source,.,Pm,,,,1,2,,,
舊hall識朋友,咩hall,Ba or c,有無local,2,3,,,,,
Business Finance,"Pm, I have",Hello,Hello,1,23,,,,,
Crcw 既導修有咩用？係咪一定要去？,去左第一次導修，好似咩冇用咁,,,,,,,,1,1
放ME1D02 A grade source,Have A source with proof 有意dm~,Pm me,Pm,1,51,,,,,
新hall有冇local？想認識或調房,pm,Pm,,,,2,28,,,
有冇人遲d 一齊係Poly 搵書～,4 喇🥲,Year 幾,Hi,1,4,,,,,
高價收暑sem Service Learning 科,放BME2S04S,pm,放APSS1A21U,14,,,,,,
Bme1d01 book quiz 係紙定用device做,Pm,Pm,Need source?,1,11,,,,,
收BME1D01 sources,Pm,Ys,Pm,1,12,,,,,
求elc2011 A range source,Have a grade source,Ok,Pm🙏🏻,2,26,,,,,
MKT Capstone Project有冇組差一個人？,或者有冇人未有組～Pm,,,,,,,,1,1
求ISE 2105 source,Python and 3D drawing,Pm,咩component？,1,3,,,,,
收apss1cn19p source,Push,同收,,,,1,2,,,
__,Thank you🙆🏻‍♀️,利申上年zoom讀 唔知今年會點quiz,有興趣+認真少少讀 已經有a range 上年讀過 2個quiz 一篇文 一個細grp project 佢個quiz 係open book 無嘢背 啲題目 notes都有晒 但本身識儒家 莊子會更好 同埋上tut要出多啲聲問問題加分,2,4,,,CC1C32P Ways of Chinese Wisdom,,
22巴,傳說中嘅AF男神？,想識,睇下咩樣,8,6,,,,,
LGT4012重考,有啲問題唔識想問🥺 有冇人都重考或者可以交換contact 一齊研究😢,,,,,,,,1,1
招LMS capstone gpmate yr3🙌🏻,Pm,pm,Pm,1,7,,,,,
放Bme1d01 A+ notes,Pm,Pm thank you🙇‍♀️,Pm,1,3,,,,,
呢度有冇電單車友,驚炒車,原來Z門口可以泊車？我泊正門間中抄牌,日日泊Z門口✌🏻,2,5,,,,,
放AF3316 A range source,Pm,Pm,,,,1,19,,,
放AFA A grade source 有prove,有意pm,,,,,,,,1,1
求Media and everyday life source,pm me,Pm🙏🏻🙏🏻,pm me,1,19,,,,,
高質搵女仔 留pm,Pm me,Hi,pm 想知有幾高質,1,8,,,,,
CBS2C04P 四大名著,Pm,Pm,Please pm me,1,75,,,,,
求elc2011 source thx!!!,Pm,求elc2011 source thx!!!,,,,1,3,,,
收 CBS1A01P quiz source,pm,pm,pm,1,4,,,,,
hall offer,下年由頭再排,如果decline hall offer 係咪冇四年一宿,想問下收到offer係咪冇得轉？唔該哂🙏,16,,,,,,
收fun with language source🙏🏻,pm,Have,Pm 🙏🏻🙏🏻,1,9,,,,,
Dynamic earth quiz,想知個40-70 係咪四分位數,你幾分？,幾分B+🥲,3,11,,,,,
LMS department,Pm ok?,差一個人,pm傾下先,1,4,,,,,
放Life and Death A range source,pm,Pm,Pm,1,9,,,,,
☠,,,,,,,,有手足匿喺POLYU 佢未捨得走,,
求ABCT1D05 sources,🥲🙏,,,,,,,,1,1
收 ama1500 source,收 ama1500 A+ source,,,,,,,,1,1
Blackboard quiz 問題,Mean 57,想知大家幾分😞,係咪dynamic earth 啱啱考完勁難,2,9,,,,,
跪求AP10001inclass soluti on,📷,,,,,,,,1,1
life and death 收source,Pm,Pm,Pm,1,30,,,,,
有冇人至如果add drop完兩個禮拜內唔記得申請畢業可以點,打電話俾你department問點算啦。或者直接去department 個office問。,,,,,,,,1,1
__,想要 + 1🙏🏼,,,,,,,收MM4311 Arnaud cudennec source,2,1
求ELC3222 source,Pm,ELC槍手 有需要pm 我,Pm,1,4,,,,,
收af3316&mm4311 source,收source,Pm,,,,1,17,,,
ELC1A08要做啲乜,睇嚟師兄得一條路返到屋企😞,唔關成績事 隻馬內心其實極度冇安全感 所以要透過random攻擊人令自己好過啲 情緒病嚟 唔使理佢佢就冇癮,,,,1,25,,,
賣apss1bn14c,,,,,,,,,,
Elc1012 好老師推介,Pm🙇‍♀️🙇‍♀️,Pm  🙇‍♀️🙇‍♀️,Pm,1,32,,,,,
收 Bme 1D01 bionic human soruce,Dm,Pm,Dm,1,19,,,,,
23/24 sem1 exchange 大家去邊,係啊 但係唔知幾時會收到email from host so 心急就上嚟八下🫠,現在不是得nomination？,Ys you hv ?,8,,,,,,
收AF3111 IA2 source,pm,pm,pm,2,38,,,,,
⛄️,Pm,Pm plz,Pm plz,1,36,,,收 dynamic earth A source,,
收elc 3222 source,平放3222 a range source,pm,禁火圈,1,5,,,,,
請槍‼️功課代做 assignment essay,📷,真,任何科目 一係呃錢第二都係呃錢 我就唔信科科都識 係team 就唔會係goop搵人啦,1,4,,,,,
求lsgi大神,Pm,Pm,Pm,1,6,,,,,
late drop收費,email就咁寫not suitable for studying this subject?,上個sem week 13 late drop講唔適合呢科都批,上年開始唔洗，不過正常都唔會批，上年有特別原因先可以批,1,5,,,,,
IA asm遲咗交會唔會冇分,初犯會扣小小分你應該問自己點解你要遲呢？嘆息......,幽默感呢家嘢🤣😅,俾小龍哥哥懲罰吓就得,10,,,,,,
收Apss1b17 source🙏🏻,Have A+ source too,Pm,Have A+ source pm me,1,3,,,,,
點解afa quiz可以難到咁？,midterm肯定難勁多,,,,,,,,1,1
收mm4311 a range source,收MM4311 SHUPING LI A grade source,,,,,,,,1,1
收elc3222,push 不要James教的,$30 a range source???,pm,1,12,,,,,
Dynamic world source,Pm,Pm,Pm plz🥹,1,22,,,,,
收dynamic earth source,Pm plz🙏🏻,Pm plz🙏🏻,Pm,2,14,,,,,
收af4106 quiz source,Pm,有2022/23 sem1 Q&A,Pm,1,4,,,,,
收APSS1BN17 source,有A range source,Pm,我有A+ source😗,1,11,,,,,
有冇讀緊或者曾經讀過CBS3S01既同學？,請問有冇source,一般，workload算較重,靚grade？workload點？,1,7,,,,,
